feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,PRECIPITACAO TOTAL MENSAL(mm)
302.9,291.0,290.8,281.7,279.1,234.6,1012.019355,1011.63908,1009.849462,1009.808889,1009.666304,1009.811828,26.330323,26632.0,27.150968,27236.0,28.016129,27.463226,76.725806,72.533333,73.524194,74.858333,74.879032,77.33871,20.74,20.93,21.39,22.63,23.91,24.69,27.72,27.81,27.96,28.17,27.97,27.15,25.63,25.76,25.97,26.4,26.44,26.23,29.43,29.37,29.41,29.55,29.38,28.89,-0.15,-0.02,0.01,0.01,0.03,-0.0,-0.05,0.07,0.36,0.22,0.2,0.27,0.01,-0.08,0.14,-0.07,0.35,0.56,255.3
291.0,290.8,281.7,279.1,234.6,121.3,1011.63908,1009.849462,1009.808889,1009.666304,1009.811828,1009.022619,26632.0,27.150968,27236.0,28.016129,27.463226,26.754286,72.533333,73.524194,74.858333,74.879032,77.33871,84.642857,20.93,21.39,22.63,23.91,24.69,25.98,27.81,27.96,28.17,27.97,27.15,27.39,25.76,25.97,26.4,26.44,26.23,26.84,29.37,29.41,29.55,29.38,28.89,28.88,-0.02,0.01,0.01,0.03,-0.0,0.01,0.07,0.36,0.22,0.2,0.27,0.0,-0.08,0.14,-0.07,0.35,0.56,0.57,547.9
290.8,281.7,279.1,234.6,121.3,119.6,1009.849462,1009.808889,1009.666304,1009.811828,1009.022619,1008.75914,27.150968,27236.0,28.016129,27.463226,26.754286,26.286452,73.524194,74.858333,74.879032,77.33871,84.642857,86.854839,21.39,22.63,23.91,24.69,25.98,26.42,27.96,28.17,27.97,27.15,27.39,27.65,25.97,26.4,26.44,26.23,26.84,27.39,29.41,29.55,29.38,28.89,28.88,28.92,0.01,0.01,0.03,-0.0,0.01,-0.02,0.36,0.22,0.2,0.27,0.0,0.04,0.14,-0.07,0.35,0.56,0.57,0.63,498.8
281.7,279.1,234.6,121.3,119.6,140.5,1009.808889,1009.666304,1009.811828,1009.022619,1008.75914,1009.307778,27236.0,28.016129,27.463226,26.754286,26.286452,26.409333,74.858333,74.879032,77.33871,84.642857,86.854839,85.6,22.63,23.91,24.69,25.98,26.42,24.98,28.17,27.97,27.15,27.39,27.65,27.68,26.4,26.44,26.23,26.84,27.39,27.14,29.55,29.38,28.89,28.88,28.92,28.96,0.01,0.03,-0.0,0.01,-0.02,0.01,0.22,0.2,0.27,0.0,0.04,0.0,-0.07,0.35,0.56,0.57,0.63,0.42,331.6
279.1,234.6,121.3,119.6,140.5,201.9,1009.666304,1009.811828,1009.022619,1008.75914,1009.307778,1009.826882,28.016129,27.463226,26.754286,26.286452,26.409333,26.640645,74.879032,77.33871,84.642857,86.854839,85.6,83.604839,23.91,24.69,25.98,26.42,24.98,22.77,27.97,27.15,27.39,27.65,27.68,27.32,26.44,26.23,26.84,27.39,27.14,26.29,29.38,28.89,28.88,28.92,28.96,28.86,0.03,-0.0,0.01,-0.02,0.01,0.0,0.2,0.27,0.0,0.04,0.0,0.06,0.35,0.56,0.57,0.63,0.42,0.37,181.6
234.6,121.3,119.6,140.5,201.9,240.0,1009.811828,1009.022619,1008.75914,1009.307778,1009.826882,1010.285556,27.463226,26.754286,26.286452,26.409333,26.640645,26162.0,77.33871,84.642857,86.854839,85.6,83.604839,81.658333,24.69,25.98,26.42,24.98,22.77,21.77,27.15,27.39,27.65,27.68,27.32,27.44,26.23,26.84,27.39,27.14,26.29,26.03,28.89,28.88,28.92,28.96,28.86,29.07,-0.0,0.01,-0.02,0.01,0.0,0.05,0.27,0.0,0.04,0.0,0.06,0.22,0.56,0.57,0.63,0.42,0.37,0.1,16.8
121.3,119.6,140.5,201.9,240.0,284.2,1009.022619,1008.75914,1009.307778,1009.826882,1010.285556,1011.792473,26.754286,26.286452,26.409333,26.640645,26162.0,26.173548,84.642857,86.854839,85.6,83.604839,81.658333,76.951613,25.98,26.42,24.98,22.77,21.77,20.95,27.39,27.65,27.68,27.32,27.44,27.5,26.84,27.39,27.14,26.29,26.03,25.92,28.88,28.92,28.96,28.86,29.07,29.08,0.01,-0.02,0.01,0.0,0.05,0.2,0.0,0.04,0.0,0.06,0.22,0.36,0.57,0.63,0.42,0.37,0.1,0.4,12.5
119.6,140.5,201.9,240.0,284.2,292.4,1008.75914,1009.307778,1009.826882,1010.285556,1011.792473,1012.030108,26.286452,26.409333,26.640645,26162.0,26.173548,26.516129,86.854839,85.6,83.604839,81.658333,76.951613,74.064516,26.42,24.98,22.77,21.77,20.95,21.02,27.65,27.68,27.32,27.44,27.5,27.11,27.39,27.14,26.29,26.03,25.92,25.38,28.92,28.96,28.86,29.07,29.08,28.98,-0.02,0.01,0.0,0.05,0.2,0.34,0.04,0.0,0.06,0.22,0.36,0.59,0.63,0.42,0.37,0.1,0.4,0.49,9.2
140.5,201.9,240.0,284.2,292.4,300.6,1009.307778,1009.826882,1010.285556,1011.792473,1012.030108,1011.021348,26.409333,26.640645,26162.0,26.173548,26.516129,27.164667,85.6,83.604839,81.658333,76.951613,74.064516,71.566667,24.98,22.77,21.77,20.95,21.02,20.28,27.68,27.32,27.44,27.5,27.11,26.99,27.14,26.29,26.03,25.92,25.38,25.05,28.96,28.86,29.07,29.08,28.98,28.94,0.01,0.0,0.05,0.2,0.34,0.51,0.0,0.06,0.22,0.36,0.59,0.66,0.42,0.37,0.1,0.4,0.49,0.49,4.4
201.9,240.0,284.2,292.4,300.6,296.2,1009.826882,1010.285556,1011.792473,1012.030108,1011.021348,1009.567742,26.640645,26162.0,26.173548,26.516129,27.164667,27.685161,83.604839,81.658333,76.951613,74.064516,71.566667,71.717742,22.77,21.77,20.95,21.02,20.28,21.25,27.32,27.44,27.5,27.11,26.99,27.14,26.29,26.03,25.92,25.38,25.05,25.38,28.86,29.07,29.08,28.98,28.94,29.12,0.0,0.05,0.2,0.34,0.51,0.45,0.06,0.22,0.36,0.59,0.66,0.8,0.37,0.1,0.4,0.49,0.49,0.53,19.1
