feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,PRECIPITACAO TOTAL MENSAL(mm)
218.1,203.0,124.1,177.5,215.8,197.2,966.464516,966.950538,966.832143,966.672043,967.265556,967.909677,29.461935,28.455484,26.567143,25.729677,25.928667,25.401935,45.333333,59.040323,73.883929,79.451613,73.017241,70.008065,23.91,24.69,25.98,26.42,24.98,22.77,27.97,27.15,27.39,27.65,27.68,27.32,26.44,26.23,26.84,27.39,27.14,26.29,29.38,28.89,28.88,28.92,28.96,28.86,0.03,-0.0,0.01,-0.02,0.01,0.0,0.2,0.27,0.0,0.04,0.0,0.06,0.35,0.56,0.57,0.63,0.42,0.37,0.0
203.0,124.1,177.5,215.8,197.2,240.3,966.950538,966.832143,966.672043,967.265556,967.909677,968.281111,28.455484,26.567143,25.729677,25.928667,25.401935,25322.0,59.040323,73.883929,79.451613,73.017241,70.008065,61.866667,24.69,25.98,26.42,24.98,22.77,21.77,27.15,27.39,27.65,27.68,27.32,27.44,26.23,26.84,27.39,27.14,26.29,26.03,28.89,28.88,28.92,28.96,28.86,29.07,-0.0,0.01,-0.02,0.01,0.0,0.05,0.27,0.0,0.04,0.0,0.06,0.22,0.56,0.57,0.63,0.42,0.37,0.1,0.0
124.1,177.5,215.8,197.2,240.3,294.9,966.832143,966.672043,967.265556,967.909677,968.281111,969.58172,26.567143,25.729677,25.928667,25.401935,25322.0,25.856129,73.883929,79.451613,73.017241,70.008065,61.866667,47.895161,25.98,26.42,24.98,22.77,21.77,20.95,27.39,27.65,27.68,27.32,27.44,27.5,26.84,27.39,27.14,26.29,26.03,25.92,28.88,28.92,28.96,28.86,29.07,29.08,0.01,-0.02,0.01,0.0,0.05,0.2,0.0,0.04,0.0,0.06,0.22,0.36,0.57,0.63,0.42,0.37,0.1,0.4,0.0
177.5,215.8,197.2,240.3,294.9,289.3,966.672043,967.265556,967.909677,968.281111,969.58172,968.919355,25.729677,25.928667,25.401935,25322.0,25.856129,27.490968,79.451613,73.017241,70.008065,61.866667,47.895161,42.983871,26.42,24.98,22.77,21.77,20.95,21.02,27.65,27.68,27.32,27.44,27.5,27.11,27.39,27.14,26.29,26.03,25.92,25.38,28.92,28.96,28.86,29.07,29.08,28.98,-0.02,0.01,0.0,0.05,0.2,0.34,0.04,0.0,0.06,0.22,0.36,0.59,0.63,0.42,0.37,0.1,0.4,0.49,24.6
215.8,197.2,240.3,294.9,289.3,296.3,967.265556,967.909677,968.281111,969.58172,968.919355,967.846667,25.928667,25.401935,25322.0,25.856129,27.490968,28426.0,73.017241,70.008065,61.866667,47.895161,42.983871,40275.0,24.98,22.77,21.77,20.95,21.02,20.28,27.68,27.32,27.44,27.5,27.11,26.99,27.14,26.29,26.03,25.92,25.38,25.05,28.96,28.86,29.07,29.08,28.98,28.94,0.01,0.0,0.05,0.2,0.34,0.51,0.0,0.06,0.22,0.36,0.59,0.66,0.42,0.37,0.1,0.4,0.49,0.49,339.3
197.2,240.3,294.9,289.3,296.3,289.1,967.909677,968.281111,969.58172,968.919355,967.846667,966.055914,25.401935,25322.0,25.856129,27.490968,28426.0,29.036774,70.008065,61.866667,47.895161,42.983871,40275.0,38.919355,22.77,21.77,20.95,21.02,20.28,21.25,27.32,27.44,27.5,27.11,26.99,27.14,26.29,26.03,25.92,25.38,25.05,25.38,28.86,29.07,29.08,28.98,28.94,29.12,0.0,0.05,0.2,0.34,0.51,0.45,0.06,0.22,0.36,0.59,0.66,0.8,0.37,0.1,0.4,0.49,0.49,0.53,135.7
240.3,294.9,289.3,296.3,289.1,244.5,968.281111,969.58172,968.919355,967.846667,966.055914,965.136667,25322.0,25.856129,27.490968,28426.0,29.036774,29.577333,61.866667,47.895161,42.983871,40275.0,38.919355,40.108333,21.77,20.95,21.02,20.28,21.25,21.94,27.44,27.5,27.11,26.99,27.14,27.04,26.03,25.92,25.38,25.05,25.38,25.75,29.07,29.08,28.98,28.94,29.12,29.07,0.05,0.2,0.34,0.51,0.45,0.41,0.22,0.36,0.59,0.66,0.8,0.48,0.1,0.4,0.49,0.49,0.53,0.55,56.2
294.9,289.3,296.3,289.1,244.5,233.9,969.58172,968.919355,967.846667,966.055914,965.136667,965.591398,25.856129,27.490968,28426.0,29.036774,29.577333,29.245161,47.895161,42.983871,40275.0,38.919355,40.108333,44.548387,20.95,21.02,20.28,21.25,21.94,23.03,27.5,27.11,26.99,27.14,27.04,27.03,25.92,25.38,25.05,25.38,25.75,26.0,29.08,28.98,28.94,29.12,29.07,28.97,0.2,0.34,0.51,0.45,0.41,0.36,0.36,0.59,0.66,0.8,0.48,0.49,0.4,0.49,0.49,0.53,0.55,0.56,89.4
289.3,296.3,289.1,244.5,233.9,115.7,968.919355,967.846667,966.055914,965.136667,965.591398,965.66129,27.490968,28426.0,29.036774,29.577333,29.245161,26.514839,42.983871,40275.0,38.919355,40.108333,44.548387,69.33871,21.02,20.28,21.25,21.94,23.03,24.36,27.11,26.99,27.14,27.04,27.03,26.81,25.38,25.05,25.38,25.75,26.0,26.08,28.98,28.94,29.12,29.07,28.97,28.75,0.34,0.51,0.45,0.41,0.36,0.49,0.59,0.66,0.8,0.48,0.49,0.5,0.49,0.49,0.53,0.55,0.56,0.41,25.0
296.3,289.1,244.5,233.9,115.7,153.3,967.846667,966.055914,965.136667,965.591398,965.66129,966.852874,28426.0,29.036774,29.577333,29.245161,26.514839,25.454483,40275.0,38.919355,40.108333,44.548387,69.33871,74.862069,20.28,21.25,21.94,23.03,24.36,26.03,26.99,27.14,27.04,27.03,26.81,26.98,25.05,25.38,25.75,26.0,26.08,26.7,28.94,29.12,29.07,28.97,28.75,28.57,0.51,0.45,0.41,0.36,0.49,0.47,0.66,0.8,0.48,0.49,0.5,0.51,0.49,0.53,0.55,0.56,0.41,0.22,10.5
289.1,244.5,233.9,115.7,153.3,201.8,966.055914,965.136667,965.591398,965.66129,966.852874,966.413978,29.036774,29.577333,29.245161,26.514839,25.454483,25.925806,38.919355,40.108333,44.548387,69.33871,74.862069,71.080645,21.25,21.94,23.03,24.36,26.03,25.75,27.14,27.04,27.03,26.81,26.98,27.4,25.38,25.75,26.0,26.08,26.7,27.34,29.12,29.07,28.97,28.75,28.57,28.42,0.45,0.41,0.36,0.49,0.47,0.38,0.8,0.48,0.49,0.5,0.51,0.36,0.53,0.55,0.56,0.41,0.22,-0.01,12.9
244.5,233.9,115.7,153.3,201.8,175.9,965.136667,965.591398,965.66129,966.852874,966.413978,966.731111,29.577333,29.245161,26.514839,25.454483,25.925806,25.757333,40.108333,44.548387,69.33871,74.862069,71.080645,72.733333,21.94,23.03,24.36,26.03,25.75,24.96,27.04,27.03,26.81,26.98,27.4,27.89,25.75,26.0,26.08,26.7,27.34,27.52,29.07,28.97,28.75,28.57,28.42,28.71,0.41,0.36,0.49,0.47,0.38,0.19,0.48,0.49,0.5,0.51,0.36,0.46,0.55,0.56,0.41,0.22,-0.01,-0.26,0.0
233.9,115.7,153.3,201.8,175.9,191.9,965.591398,965.66129,966.852874,966.413978,966.731111,967.994624,29.245161,26.514839,25.454483,25.925806,25.757333,25.420645,44.548387,69.33871,74.862069,71.080645,72.733333,67.564516,23.03,24.36,26.03,25.75,24.96,22.82,27.03,26.81,26.98,27.4,27.89,28.0,26.0,26.08,26.7,27.34,27.52,26.8,28.97,28.75,28.57,28.42,28.71,29.02,0.36,0.49,0.47,0.38,0.19,0.12,0.49,0.5,0.51,0.36,0.46,0.17,0.56,0.41,0.22,-0.01,-0.26,-0.12,3.9
