feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,PRECIPITACAO TOTAL MENSAL(mm)
219.7,246.8,274.1,289.4,296.4,308.2,986.874194,987.374444,988.201075,987.888172,987.281111,986.075269,26.566452,25.77,26.746452,27.701935,28.424667,28.494194,77.717742,72.608333,52.056452,51.209677,51.612069,55.443548,22.77,21.77,20.95,21.02,20.28,21.25,27.32,27.44,27.5,27.11,26.99,27.14,26.29,26.03,25.92,25.38,25.05,25.38,28.86,29.07,29.08,28.98,28.94,29.12,0.0,0.05,0.2,0.34,0.51,0.45,0.06,0.22,0.36,0.59,0.66,0.8,0.37,0.1,0.4,0.49,0.49,0.53,0.2
246.8,274.1,289.4,296.4,308.2,245.3,987.374444,988.201075,987.888172,987.281111,986.075269,985.591111,25.77,26.746452,27.701935,28.424667,28.494194,28.949333,72.608333,52.056452,51.209677,51.612069,55.443548,58.666667,21.77,20.95,21.02,20.28,21.25,21.94,27.44,27.5,27.11,26.99,27.14,27.04,26.03,25.92,25.38,25.05,25.38,25.75,29.07,29.08,28.98,28.94,29.12,29.07,0.05,0.2,0.34,0.51,0.45,0.41,0.22,0.36,0.59,0.66,0.8,0.48,0.1,0.4,0.49,0.49,0.53,0.55,27.4
274.1,289.4,296.4,308.2,245.3,279.3,988.201075,987.888172,987.281111,986.075269,985.591111,985.035484,26.746452,27.701935,28.424667,28.494194,28.949333,28.549032,52.056452,51.209677,51.612069,55.443548,58.666667,72.362903,20.95,21.02,20.28,21.25,21.94,23.03,27.5,27.11,26.99,27.14,27.04,27.03,25.92,25.38,25.05,25.38,25.75,26.0,29.08,28.98,28.94,29.12,29.07,28.97,0.2,0.34,0.51,0.45,0.41,0.36,0.36,0.59,0.66,0.8,0.48,0.49,0.4,0.49,0.49,0.53,0.55,0.56,305.4
289.4,296.4,308.2,245.3,279.3,155.4,987.888172,987.281111,986.075269,985.591111,985.035484,984.869892,27.701935,28.424667,28.494194,28.949333,28.549032,26.810323,51.209677,51.612069,55.443548,58.666667,72.362903,84.072581,21.02,20.28,21.25,21.94,23.03,24.36,27.11,26.99,27.14,27.04,27.03,26.81,25.38,25.05,25.38,25.75,26.0,26.08,28.98,28.94,29.12,29.07,28.97,28.75,0.34,0.51,0.45,0.41,0.36,0.49,0.59,0.66,0.8,0.48,0.49,0.5,0.49,0.49,0.53,0.55,0.56,0.41,197.6
296.4,308.2,245.3,279.3,155.4,175.8,987.281111,986.075269,985.591111,985.035484,984.869892,984.237931,28.424667,28.494194,28.949333,28.549032,26.810323,25.568966,51.612069,55.443548,58.666667,72.362903,84.072581,85.922414,20.28,21.25,21.94,23.03,24.36,26.03,26.99,27.14,27.04,27.03,26.81,26.98,25.05,25.38,25.75,26.0,26.08,26.7,28.94,29.12,29.07,28.97,28.75,28.57,0.51,0.45,0.41,0.36,0.49,0.47,0.66,0.8,0.48,0.49,0.5,0.51,0.49,0.53,0.55,0.56,0.41,0.22,177.3
308.2,245.3,279.3,155.4,175.8,237.0,986.075269,985.591111,985.035484,984.869892,984.237931,983.850538,28.494194,28.949333,28.549032,26.810323,25.568966,25.662581,55.443548,58.666667,72.362903,84.072581,85.922414,84.024194,21.25,21.94,23.03,24.36,26.03,25.75,27.14,27.04,27.03,26.81,26.98,27.4,25.38,25.75,26.0,26.08,26.7,27.34,29.12,29.07,28.97,28.75,28.57,28.42,0.45,0.41,0.36,0.49,0.47,0.38,0.8,0.48,0.49,0.5,0.51,0.36,0.53,0.55,0.56,0.41,0.22,-0.01,130.4
245.3,279.3,155.4,175.8,237.0,235.9,985.591111,985.035484,984.869892,984.237931,983.850538,984.023333,28.949333,28.549032,26.810323,25.568966,25.662581,25.985333,58.666667,72.362903,84.072581,85.922414,84.024194,77.083333,21.94,23.03,24.36,26.03,25.75,24.96,27.04,27.03,26.81,26.98,27.4,27.89,25.75,26.0,26.08,26.7,27.34,27.52,29.07,28.97,28.75,28.57,28.42,28.71,0.41,0.36,0.49,0.47,0.38,0.19,0.48,0.49,0.5,0.51,0.36,0.46,0.55,0.56,0.41,0.22,-0.01,-0.26,69.5
279.3,155.4,175.8,237.0,235.9,248.6,985.035484,984.869892,984.237931,983.850538,984.023333,984.916129,28.549032,26.810323,25.568966,25.662581,25.985333,25.525806,72.362903,84.072581,85.922414,84.024194,77.083333,73.596774,23.03,24.36,26.03,25.75,24.96,22.82,27.03,26.81,26.98,27.4,27.89,28.0,26.0,26.08,26.7,27.34,27.52,26.8,28.97,28.75,28.57,28.42,28.71,29.02,0.36,0.49,0.47,0.38,0.19,0.12,0.49,0.5,0.51,0.36,0.46,0.17,0.56,0.41,0.22,-0.01,-0.26,-0.12,155.6
155.4,175.8,237.0,235.9,248.6,188.2,984.869892,984.237931,983.850538,984.023333,984.916129,986.649438,26.810323,25.568966,25.662581,25.985333,25.525806,24.355333,84.072581,85.922414,84.024194,77.083333,73.596774,82625.0,24.36,26.03,25.75,24.96,22.82,22.05,26.81,26.98,27.4,27.89,28.0,27.86,26.08,26.7,27.34,27.52,26.8,26.35,28.75,28.57,28.42,28.71,29.02,29.19,0.49,0.47,0.38,0.19,0.12,0.14,0.5,0.51,0.36,0.46,0.17,0.27,0.41,0.22,-0.01,-0.26,-0.12,-0.08,36.9
175.8,237.0,235.9,248.6,188.2,251.7,984.237931,983.850538,984.023333,984.916129,986.649438,985.93871,25.568966,25.662581,25.985333,25.525806,24.355333,24.703871,85.922414,84.024194,77.083333,73.596774,82625.0,76.298387,26.03,25.75,24.96,22.82,22.05,21.18,26.98,27.4,27.89,28.0,27.86,27.78,26.7,27.34,27.52,26.8,26.35,25.78,28.57,28.42,28.71,29.02,29.19,29.32,0.47,0.38,0.19,0.12,0.14,0.23,0.51,0.36,0.46,0.17,0.27,0.46,0.22,-0.01,-0.26,-0.12,-0.08,0.08,27.8
